23552,Lübeck
23554,Lübeck
23556,Lübeck
23558,Lübeck
23560,Lübeck
23562,Lübeck
23564,Lübeck
23566,Lübeck
23568,Lübeck
23569,Lübeck
23570,Lübeck
37073,Göttingen
37075,Göttingen
37077,Göttingen
37079,Göttingen
37081,Göttingen
37083,Göttingen
37085,Göttingen
40210,Düsseldorf
40211,Düsseldorf
40212,Düsseldorf
40213,Düsseldorf
40215,Düsseldorf
40217,Düsseldorf
40219,Düsseldorf
40221,Düsseldorf
40223,Düsseldorf
40225,Düsseldorf
40227,Düsseldorf
40229,Düsseldorf
40231,Düsseldorf
40233,Düsseldorf
40235,Düsseldorf
40237,Düsseldorf
40239,Düsseldorf
40468,Düsseldorf
40470,Düsseldorf
40472,Düsseldorf
40474,Düsseldorf
40476,Düsseldorf
40477,Düsseldorf
40479,Düsseldorf
40489,Düsseldorf
40545,Düsseldorf
40547,Düsseldorf
40549,Düsseldorf
40589,Düsseldorf
40591,Düsseldorf
40593,Düsseldorf
40595,Düsseldorf
40597,Düsseldorf
40599,Düsseldorf
40625,Düsseldorf
40627,Düsseldorf
40629,Düsseldorf
40721,Düsseldorf
41061,Mönchengladbach
41063,Mönchengladbach
41065,Mönchengladbach
41066,Mönchengladbach
41068,Mönchengladbach
41069,Mönchengladbach
41169,Mönchengladbach
41179,Mönchengladbach
41189,Mönchengladbach
41199,Mönchengladbach
41236,Mönchengladbach
41238,Mönchengladbach
41239,Mönchengladbach
45468,Mülheim an der Ruhr
45470,Mülheim an der Ruhr
45472,Mülheim an der Ruhr
45473,Mülheim an der Ruhr
45475,Mülheim an der Ruhr
45476,Mülheim an der Ruhr
45478,Mülheim an der Ruhr
45479,Mülheim an der Ruhr
45481,Mülheim an der Ruhr
48143,Münster
48145,Münster
48147,Münster
48149,Münster
48151,Münster
48153,Münster
48155,Münster
48157,Münster
48159,Münster
48161,Münster
48163,Münster
48165,Münster
48167,Münster
49074,Osnabrück
49076,Osnabrück
49078,Osnabrück
49080,Osnabrück
49082,Osnabrück
49084,Osnabrück
49086,Osnabrück
49088,Osnabrück
49090,Osnabrück
50667,Köln
50668,Köln
50670,Köln
50672,Köln
50674,Köln
50676,Köln
50677,Köln
50678,Köln
50679,Köln
50733,Köln
50735,Köln
50737,Köln
50739,Köln
50765,Köln
50767,Köln
50769,Köln
50823,Köln
50825,Köln
50827,Köln
50829,Köln
50858,Köln
50859,Köln
50931,Köln
50933,Köln
50935,Köln
50937,Köln
50939,Köln
50968,Köln
50969,Köln
50996,Köln
50997,Köln
50999,Köln
51061,Köln
51063,Köln
51065,Köln
51067,Köln
51069,Köln
51103,Köln
51105,Köln
51107,Köln
51109,Köln
51143,Köln
51145,Köln
51147,Köln
51149,Köln
51467,Köln
64658,Fürth
66111,Saarbrücken
66113,Saarbrücken
66115,Saarbrücken
66117,Saarbrücken
66119,Saarbrücken
66121,Saarbrücken
66123,Saarbrücken
66125,Saarbrücken
66126,Saarbrücken
66127,Saarbrücken
66128,Saarbrücken
66129,Saarbrücken
66130,Saarbrücken
66131,Saarbrücken
66132,Saarbrücken
66133,Saarbrücken
80331,München
80333,München
80335,München
80336,München
80337,München
80339,München
80469,München
80538,München
80539,München
80634,München
80636,München
80637,München
80638,München
80639,München
80686,München
80687,München
80689,München
80796,München
80797,München
80798,München
80799,München
80801,München
80802,München
80803,München
80804,München
80805,München
80807,München
80809,München
80933,München
80935,München
80937,München
80939,München
80992,München
80993,München
80995,München
80997,München
80999,München
81241,München
81243,München
81245,München
81247,München
81248,München
81249,München
81369,München
81371,München
81373,München
81375,München
81377,München
81379,München
81475,München
81476,München
81477,München
81479,München
81539,München
81541,München
81543,München
81545,München
81547,München
81549,München
81667,München
81669,München
81671,München
81673,München
81675,München
81677,München
81679,München
81735,München
81737,München
81739,München
81825,München
81827,München
81829,München
81925,München
81927,München
81929,München
85540,München
86692,Münster
90402,Nürnberg
90403,Nürnberg
90408,Nürnberg
90409,Nürnberg
90411,Nürnberg
90419,Nürnberg
90425,Nürnberg
90427,Nürnberg
90429,Nürnberg
90431,Nürnberg
90439,Nürnberg
90441,Nürnberg
90443,Nürnberg
90449,Nürnberg
90451,Nürnberg
90453,Nürnberg
90455,Nürnberg
90459,Nürnberg
90461,Nürnberg
90469,Nürnberg
90471,Nürnberg
90473,Nürnberg
90475,Nürnberg
90478,Nürnberg
90480,Nürnberg
90482,Nürnberg
90489,Nürnberg
90491,Nürnberg
90762,Fürth
90763,Fürth
90765,Fürth
90766,Fürth
90768,Fürth
97070,Würzburg
97072,Würzburg
97074,Würzburg
97076,Würzburg
97078,Würzburg
97080,Würzburg
97082,Würzburg
97084,Würzburg
